URL,Page Type,Primary Intent,Top Query,Clicks,Impressions,CTR,Average Position,Ranking Bucket,CTR Opportunity,Commercial Value,Cannibalisation Risk,Recommended Action,Priority
https://www.seoindiatech.com/,Homepage,SEO Company in India,GSC_QUERY_DATA_UNAVAILABLE,,3108,,47.19,P2,High,High,Low — primary URL for intent,PROTECT — strengthen internal links only; no title/H1 changes without query export,Monitor
https://www.seoindiatech.com/services/seo,Service,SEO Services in India,GSC_QUERY_DATA_UNAVAILABLE,,3468,,60.1,P3,High,High,Low — primary URL for intent,PROTECT — strengthen internal links only; no title/H1 changes without query export,Monitor
https://www.seoindiatech.com/services/technical-seo,Service,Technical SEO Services,GSC_QUERY_DATA_UNAVAILABLE,,,,,,,High,Low if intent locked,PROTECT — no speculative metadata changes,Monitor
https://www.seoindiatech.com/services/local-seo-service,Service,Local SEO Services,GSC_QUERY_DATA_UNAVAILABLE,,,,,,,High,Low if intent locked,PROTECT — no speculative metadata changes,Monitor
https://www.seoindiatech.com/services/e-commerce-seo,Service,E-commerce SEO Services,GSC_QUERY_DATA_UNAVAILABLE,,,,,,,High,Low if intent locked,PROTECT — no speculative metadata changes,Monitor
https://www.seoindiatech.com/services/international-seo,Service,International SEO,GSC_QUERY_DATA_UNAVAILABLE,,,,,,,High,Low if intent locked,PROTECT — no speculative metadata changes,Monitor
https://www.seoindiatech.com/services/gbp-optimization,Service,GBP Optimization,GSC_QUERY_DATA_UNAVAILABLE,,,,,,,High,Low if intent locked,PROTECT — no speculative metadata changes,Monitor
https://www.seoindiatech.com/industries/wineries-seo,Industry,Winery SEO / SEO for Wineries,GSC_QUERY_DATA_UNAVAILABLE,0,287,0%,80.42,P3,High,Medium-High,Low vs service hubs,Phase 13B: internal/blog links; title unchanged until query export,P1 batch
https://www.seoindiatech.com/industries/hvac-seo,Industry,HVAC SEO Services,GSC_QUERY_DATA_UNAVAILABLE,0,135,0%,67.91,P3,High,Medium-High,Low vs service hubs,Phase 13B: CTR title/meta tighten + contextual internal/blog links,P1 batch
https://www.seoindiatech.com/industries/optometrist-seo,Industry,SEO for Optometrists,GSC_QUERY_DATA_UNAVAILABLE,1,85,1.18%,75.16,P3,Low,Medium-High,Low vs service hubs,Phase 13B: protect override; GBP blog link only,P1 batch
https://www.seoindiatech.com/industries/plumber-seo,Industry,Plumber SEO Services,GSC_QUERY_DATA_UNAVAILABLE,0,53,0%,79.4,P3,High,Medium-High,Low vs service hubs,Phase 13B: CTR title/meta tighten + contextual internal/blog links,P1 batch
https://www.seoindiatech.com/industries/automotive-seo,Industry,Automotive SEO Services,GSC_QUERY_DATA_UNAVAILABLE,0,40,0%,69.75,P3,Medium,Medium-High,Low vs service hubs,Phase 13B: CTR title/meta tighten + contextual internal/blog links,P1 batch
