Slug,URL,Clicks,Impressions,CTR,Avg Position,GSC In Export,Opportunity Score,Top 5 Selected,Notes
accountants-seo,https://www.seoindiatech.com/industries/accountants-seo,1,34,2.94%,67.26,Yes,39.6,,
optometrist-seo,https://www.seoindiatech.com/industries/optometrist-seo,1,85,1.18%,75.16,Yes,34.4,YES,
wineries-seo,https://www.seoindiatech.com/industries/wineries-seo,0,287,0%,80.42,Yes,32.6,YES,
hvac-seo,https://www.seoindiatech.com/industries/hvac-seo,0,135,0%,67.91,Yes,19.9,YES,
movers-and-moving-company-seo,https://www.seoindiatech.com/industries/movers-and-moving-company-seo,0,34,0%,54.09,Yes,12.6,,
flooring-company-seo,https://www.seoindiatech.com/industries/flooring-company-seo,0,32,0%,63.5,Yes,10.5,,
automotive-seo,https://www.seoindiatech.com/industries/automotive-seo,0,40,0%,69.75,Yes,10.1,YES,
plastic-surgery-seo,https://www.seoindiatech.com/industries/plastic-surgery-seo,0,33,0%,67.97,Yes,9.7,,
plumber-seo,https://www.seoindiatech.com/industries/plumber-seo,0,53,0%,79.4,Yes,9.4,YES,
garage-door-seo,https://www.seoindiatech.com/industries/garage-door-seo,0,30,0%,80.5,Yes,6.9,,
property-management-seo,https://www.seoindiatech.com/industries/property-management-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
realtor-seo,https://www.seoindiatech.com/industries/realtor-seo,N/A,N/A,,,No row,0.0,,No row in Pages export — not assumed zero
fertility-clinic-seo,https://www.seoindiatech.com/industries/fertility-clinic-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
orthodontist-seo,https://www.seoindiatech.com/industries/orthodontist-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
doctor-physician-seo,https://www.seoindiatech.com/industries/doctor-physician-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
physiotherapy-seo,https://www.seoindiatech.com/industries/physiotherapy-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
personal-injury-seo,https://www.seoindiatech.com/industries/personal-injury-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
dentist-seo,https://www.seoindiatech.com/industries/dentist-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
well-drilling-company-seo,https://www.seoindiatech.com/industries/well-drilling-company-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
fence-installer-seo,https://www.seoindiatech.com/industries/fence-installer-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
deck-builder-seo,https://www.seoindiatech.com/industries/deck-builder-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
cabinet-manufacturer-seo,https://www.seoindiatech.com/industries/cabinet-manufacturer-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
architect-seo,https://www.seoindiatech.com/industries/architect-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
painter-seo,https://www.seoindiatech.com/industries/painter-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
locksmith-service-seo,https://www.seoindiatech.com/industries/locksmith-service-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
interior-designer-seo,https://www.seoindiatech.com/industries/interior-designer-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
home-builder-and-remodeler-seo,https://www.seoindiatech.com/industries/home-builder-and-remodeler-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
catering-seo,https://www.seoindiatech.com/industries/catering-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
breweries-seo,https://www.seoindiatech.com/industries/breweries-seo,N/A,N/A,,,No row,0.0,,No row in Pages export — not assumed zero
herbal-product-seo,https://www.seoindiatech.com/industries/herbal-product-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
chiropractor-seo,https://www.seoindiatech.com/industries/chiropractor-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
pest-control-service-seo,https://www.seoindiatech.com/industries/pest-control-service-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
cpa-firm-seo,https://www.seoindiatech.com/industries/cpa-firm-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
wildlife-removal-company-seo,https://www.seoindiatech.com/industries/wildlife-removal-company-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
sign-company-seo,https://www.seoindiatech.com/industries/sign-company-seo,N/A,N/A,,,No row,0.0,,No row in Pages export — not assumed zero
waste-management-seo,https://www.seoindiatech.com/industries/waste-management-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
dry-cleaner-seo,https://www.seoindiatech.com/industries/dry-cleaner-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
tree-care-seo,https://www.seoindiatech.com/industries/tree-care-seo,N/A,N/A,,,No row,0.0,,No row in Pages export — not assumed zero
roofers-seo,https://www.seoindiatech.com/industries/roofers-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
pet-service-seo,https://www.seoindiatech.com/industries/pet-service-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
janitorial-service-seo,https://www.seoindiatech.com/industries/janitorial-service-seo,,,,,Yes,,,In export summary but metrics not in top-10 handoff
